"OriginalID","FinalID","OriginalTraitName","OriginalTraitDef","StandardisedTraitName","StandardisedTraitDef","OriginalTraitValue","OriginalTraitUnit","OriginalErrorPos","OriginalErrorNeg","OriginalErrorUnit","StandardisedTraitValue","StandardisedTraitUnit","StandardisedErrorPos","StandardisedErrorNeg","StandardisedErrorUnit","Replicates","Habitat","Labfield","ArenaValue","ArenaUnit","ArenaValueSI","ArenaUnitSI","AmbientTemp","AmbientTempMethod","AmbientTempUnit","AmbientLight","AmbientLightUnit","SecondStressor","SecondStressorDef","SecondStressorValue","SecondStressorUnit","EquilibTimeValue","EquilibTimeUnit","ObsTimeValue","ObsTimeUnit","ObsTimeValueSI","ObsTimeUnitSI","ObsTimeNotes","ResRepValue","ResRepUnit","ResRepValueSI","ResRepUnitSI","Climate","Location","LocationType","LocationDate","CoordinateType","Latitude","Longitude","TaxaPresent","TraitMotivation","TraitOrg","TraitRelevantTaxa","Consumer","ConCommon","ConWholePart","ConWholePartType","ConIDLevel","ConKingdom","ConPhylum","ConClass","ConOrder","ConFamily","ConGenus","ConSpecies","ConTrophic","ConTrophicGroup_citation","ConType","ConStage","ConThermy","ConTemp","ConTempUnit","ConTempMethod","ConLabGrowthTemp","ConLabGrowthTempUnit","ConLabGrowthDur","ConLabGrowthDurUnit","ConAcc","ConAccTemp","ConAccTempNotes","ConAccTime","ConAccTimeNotes","ConAccTimeUnit","ConOrigTemp","ConOrigTempNotes","ConOrigTime","ConOrigTimeNotes","ConOrigTimeUnit","ConSize","ConSizeUnit","ConSizeType","ConSizeSI","ConSizeUnitSI","ConDenValue","ConDenUnit","ConDenTypeSI","ConDenValueSI","ConDenUnitSI","ConMassValueSI","ConMassUnitSI","ConTimeTestTemp","ConTimeTestTempNotes","ConTimeTestTempUnit","ConTimeTestTempSI","ConTimeTestTempUnitSI","Resource","ResCommon","ResIDLevel","ResKingdom","ResPhylum","ResClass","ResOrder","ResFamily","ResGenus","ResSpecies","ResTrophic","ResTrophicGroup_citation","ResType","ResStage","ResThermy","ResTemp","ResTempUnit","ResTempMethod","ResLabGrowthTemp","ResLabGrowthTempUnit","ResLabGrowthDur","ResLabGrowthDurUnit","ResAcc","ResAccTemp","ResAccTempNotes","ResAccTime","ResAccTimeNotes","ResAccTimeUnit","ResOrigTemp","ResOrigTempNotes","ResOrigTime","ResOrigTimeNotes","ResOrigTimeUnit","ResSize","ResSizeUnit","ResSizeType","ResSizeSI","ResSizeUnitSI","ResDenValue","ResDenUnit","ResDenTypeSI","ResDenValueSI","ResDenUnitSI","ResMassValueSI","ResMassUnitSI","ResTimeTestTemp","ResTimeTestTempNotes","ResTimeTestTempUnit","ResTimeTestTempSI","ResTimeTestTempUnitSI","PhysicalProcess","PhysicalProcess_1","PhysicalProcess_2","CitationID","Citation","DOI","Published","FigureTable","Notes","SubmittedBy","ContributorEmail","ManualCheck"
1,1,"Mean Growth Rate",NA,"Population Growth Rate",NA,0.05058,"h-1",NA,NA,NA,1.41e-05,"s-1",NA,NA,NA,NA,NA,"Laboratory",NA,NA,NA,NA,75.0177,NA,"Celcius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Pacific Rise","Organism","1990",NA,NA,NA,"consumer",NA,"population",NA,"Pyrococcus glycovorans",NA,NA,NA,"Species","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","glycovorans",NA,NA,NA,NA,NA,75.0177,"Celcius","Inferred (ambient)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2216-S medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georges Barbier, Anne Godfroy, Jean-Roch Meunier, Joel Querellou, Marie-Anne Cambon, Francoise Lesongeur, Partick A. D. Grimont and Gerard Raguenes (1999) Pyrococcus glycovorans sp. nov., a hyperthermophilic archaeon isolated from the East Pacific Rise. International Journal of Systematic Bacteriology 49 1829-1837","10.1099/00207713-49-4-1829",TRUE,"Figure 2",NA,"Tom Smith",NA,NA
1,1,"Mean Growth Rate",NA,"Population Growth Rate",NA,0.075638,"h-1",NA,NA,NA,2.1e-05,"s-1",NA,NA,NA,NA,NA,"Laboratory",NA,NA,NA,NA,79.7526,NA,"Celcius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Pacific Rise","Organism","1990",NA,NA,NA,"consumer",NA,"population",NA,"Pyrococcus glycovorans",NA,NA,NA,"Species","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","glycovorans",NA,NA,NA,NA,NA,79.7526,"Celcius","Inferred (ambient)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2216-S medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georges Barbier, Anne Godfroy, Jean-Roch Meunier, Joel Querellou, Marie-Anne Cambon, Francoise Lesongeur, Partick A. D. Grimont and Gerard Raguenes (1999) Pyrococcus glycovorans sp. nov., a hyperthermophilic archaeon isolated from the East Pacific Rise. International Journal of Systematic Bacteriology 49 1829-1837","10.1099/00207713-49-4-1829",TRUE,"Figure 2",NA,"Tom Smith",NA,NA
1,1,"Mean Growth Rate",NA,"Population Growth Rate",NA,0.0487239,"h-1",NA,NA,NA,1.35e-05,"s-1",NA,NA,NA,NA,NA,"Laboratory",NA,NA,NA,NA,81.1661,NA,"Celcius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Pacific Rise","Organism","1990",NA,NA,NA,"consumer",NA,"population",NA,"Pyrococcus glycovorans",NA,NA,NA,"Species","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","glycovorans",NA,NA,NA,NA,NA,81.1661,"Celcius","Inferred (ambient)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2216-S medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georges Barbier, Anne Godfroy, Jean-Roch Meunier, Joel Querellou, Marie-Anne Cambon, Francoise Lesongeur, Partick A. D. Grimont and Gerard Raguenes (1999) Pyrococcus glycovorans sp. nov., a hyperthermophilic archaeon isolated from the East Pacific Rise. International Journal of Systematic Bacteriology 49 1829-1837","10.1099/00207713-49-4-1829",TRUE,"Figure 2",NA,"Tom Smith",NA,NA
1,1,"Mean Growth Rate",NA,"Population Growth Rate",NA,0.131787,"h-1",NA,NA,NA,3.66e-05,"s-1",NA,NA,NA,NA,NA,"Laboratory",NA,NA,NA,NA,84.6996,NA,"Celcius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Pacific Rise","Organism","1990",NA,NA,NA,"consumer",NA,"population",NA,"Pyrococcus glycovorans",NA,NA,NA,"Species","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","glycovorans",NA,NA,NA,NA,NA,84.6996,"Celcius","Inferred (ambient)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2216-S medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georges Barbier, Anne Godfroy, Jean-Roch Meunier, Joel Querellou, Marie-Anne Cambon, Francoise Lesongeur, Partick A. D. Grimont and Gerard Raguenes (1999) Pyrococcus glycovorans sp. nov., a hyperthermophilic archaeon isolated from the East Pacific Rise. International Journal of Systematic Bacteriology 49 1829-1837","10.1099/00207713-49-4-1829",TRUE,"Figure 2",NA,"Tom Smith",NA,NA
1,1,"Mean Growth Rate",NA,"Population Growth Rate",NA,0.122042,"h-1",NA,NA,NA,3.39e-05,"s-1",NA,NA,NA,NA,NA,"Laboratory",NA,NA,NA,NA,84.6996,NA,"Celcius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Pacific Rise","Organism","1990",NA,NA,NA,"consumer",NA,"population",NA,"Pyrococcus glycovorans",NA,NA,NA,"Species","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","glycovorans",NA,NA,NA,NA,NA,84.6996,"Celcius","Inferred (ambient)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2216-S medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georges Barbier, Anne Godfroy, Jean-Roch Meunier, Joel Querellou, Marie-Anne Cambon, Francoise Lesongeur, Partick A. D. Grimont and Gerard Raguenes (1999) Pyrococcus glycovorans sp. nov., a hyperthermophilic archaeon isolated from the East Pacific Rise. International Journal of Systematic Bacteriology 49 1829-1837","10.1099/00207713-49-4-1829",TRUE,"Figure 2",NA,"Tom Smith",NA,NA
1,1,"Mean Growth Rate",NA,"Population Growth Rate",NA,0.138747,"h-1",NA,NA,NA,3.85e-05,"s-1",NA,NA,NA,NA,NA,"Laboratory",NA,NA,NA,NA,89.788,NA,"Celcius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Pacific Rise","Organism","1990",NA,NA,NA,"consumer",NA,"population",NA,"Pyrococcus glycovorans",NA,NA,NA,"Species","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","glycovorans",NA,NA,NA,NA,NA,89.788,"Celcius","Inferred (ambient)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2216-S medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georges Barbier, Anne Godfroy, Jean-Roch Meunier, Joel Querellou, Marie-Anne Cambon, Francoise Lesongeur, Partick A. D. Grimont and Gerard Raguenes (1999) Pyrococcus glycovorans sp. nov., a hyperthermophilic archaeon isolated from the East Pacific Rise. International Journal of Systematic Bacteriology 49 1829-1837","10.1099/00207713-49-4-1829",TRUE,"Figure 2",NA,"Tom Smith",NA,NA
1,1,"Mean Growth Rate",NA,"Population Growth Rate",NA,0.125754,"h-1",NA,NA,NA,3.49e-05,"s-1",NA,NA,NA,NA,NA,"Laboratory",NA,NA,NA,NA,90.9187,NA,"Celcius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Pacific Rise","Organism","1990",NA,NA,NA,"consumer",NA,"population",NA,"Pyrococcus glycovorans",NA,NA,NA,"Species","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","glycovorans",NA,NA,NA,NA,NA,90.9187,"Celcius","Inferred (ambient)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2216-S medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georges Barbier, Anne Godfroy, Jean-Roch Meunier, Joel Querellou, Marie-Anne Cambon, Francoise Lesongeur, Partick A. D. Grimont and Gerard Raguenes (1999) Pyrococcus glycovorans sp. nov., a hyperthermophilic archaeon isolated from the East Pacific Rise. International Journal of Systematic Bacteriology 49 1829-1837","10.1099/00207713-49-4-1829",TRUE,"Figure 2",NA,"Tom Smith",NA,NA
1,1,"Mean Growth Rate",NA,"Population Growth Rate",NA,0.158237,"h-1",NA,NA,NA,4.4e-05,"s-1",NA,NA,NA,NA,NA,"Laboratory",NA,NA,NA,NA,95.3004,NA,"Celcius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Pacific Rise","Organism","1990",NA,NA,NA,"consumer",NA,"population",NA,"Pyrococcus glycovorans",NA,NA,NA,"Species","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","glycovorans",NA,NA,NA,NA,NA,95.3004,"Celcius","Inferred (ambient)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2216-S medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georges Barbier, Anne Godfroy, Jean-Roch Meunier, Joel Querellou, Marie-Anne Cambon, Francoise Lesongeur, Partick A. D. Grimont and Gerard Raguenes (1999) Pyrococcus glycovorans sp. nov., a hyperthermophilic archaeon isolated from the East Pacific Rise. International Journal of Systematic Bacteriology 49 1829-1837","10.1099/00207713-49-4-1829",TRUE,"Figure 2",NA,"Tom Smith",NA,NA
1,1,"Mean Growth Rate",NA,"Population Growth Rate",NA,0.191647,"h-1",NA,NA,NA,5.32e-05,"s-1",NA,NA,NA,NA,NA,"Laboratory",NA,NA,NA,NA,95.7951,NA,"Celcius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Pacific Rise","Organism","1990",NA,NA,NA,"consumer",NA,"population",NA,"Pyrococcus glycovorans",NA,NA,NA,"Species","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","glycovorans",NA,NA,NA,NA,NA,95.7951,"Celcius","Inferred (ambient)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2216-S medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georges Barbier, Anne Godfroy, Jean-Roch Meunier, Joel Querellou, Marie-Anne Cambon, Francoise Lesongeur, Partick A. D. Grimont and Gerard Raguenes (1999) Pyrococcus glycovorans sp. nov., a hyperthermophilic archaeon isolated from the East Pacific Rise. International Journal of Systematic Bacteriology 49 1829-1837","10.1099/00207713-49-4-1829",TRUE,"Figure 2",NA,"Tom Smith",NA,NA
1,1,"Mean Growth Rate",NA,"Population Growth Rate",NA,0.111369,"h-1",NA,NA,NA,3.09e-05,"s-1",NA,NA,NA,NA,NA,"Laboratory",NA,NA,NA,NA,99.6113,NA,"Celcius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Pacific Rise","Organism","1990",NA,NA,NA,"consumer",NA,"population",NA,"Pyrococcus glycovorans",NA,NA,NA,"Species","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","glycovorans",NA,NA,NA,NA,NA,99.6113,"Celcius","Inferred (ambient)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2216-S medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georges Barbier, Anne Godfroy, Jean-Roch Meunier, Joel Querellou, Marie-Anne Cambon, Francoise Lesongeur, Partick A. D. Grimont and Gerard Raguenes (1999) Pyrococcus glycovorans sp. nov., a hyperthermophilic archaeon isolated from the East Pacific Rise. International Journal of Systematic Bacteriology 49 1829-1837","10.1099/00207713-49-4-1829",TRUE,"Figure 2",NA,"Tom Smith",NA,NA
