OriginalID,FinalID,OriginalTraitName,OriginalTraitDef,StandardisedTraitName,StandardisedTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,StandardisedTraitValue,StandardisedTraitUnit,StandardisedErrorPos,StandardisedErrorNeg,StandardisedErrorUnit,Replicates,Habitat,Labfield,ArenaValue,ArenaUnit,ArenaValueSI,ArenaUnitSI,AmbientTemp,AmbientTempMethod,AmbientTempUnit,AmbientLight,AmbientLightUnit,SecondStressor,SecondStressorDef,SecondStressorValue,SecondStressorUnit,EquilibTimeValue,EquilibTimeUnit,ObsTimeValue,ObsTimeUnit,ObsTimeValueSI,ObsTimeUnitSI,ObsTimeNotes,ResRepValue,ResRepUnit,ResRepValueSI,ResRepUnitSI,Climate,Location,LocationType,LocationDate,CoordinateType,Latitude,Longitude,TaxaPresent,TraitMotivation,TraitOrg,TraitRelevantTaxa,Consumer,ConCommon,ConWholePart,ConWholePartType,ConIDLevel,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConTrophic,ConTrophicGroup_citation,ConType,ConStage,ConThermy,ConTemp,ConTempUnit,ConTempMethod,ConLabGrowthTemp,ConLabGrowthTempUnit,ConLabGrowthDur,ConLabGrowthDurUnit,ConAcc,ConAccTemp,ConAccTempNotes,ConAccTime,ConAccTimeNotes,ConAccTimeUnit,ConOrigTemp,ConOrigTempNotes,ConOrigTime,ConOrigTimeNotes,ConOrigTimeUnit,ConSize,ConSizeUnit,ConSizeType,ConSizeSI,ConSizeUnitSI,ConDenValue,ConDenUnit,ConDenTypeSI,ConDenValueSI,ConDenUnitSI,ConMassValueSI,ConMassUnitSI,ConTimeTestTemp,ConTimeTestTempNotes,ConTimeTestTempUnit,ConTimeTestTempSI,ConTimeTestTempUnitSI,Resource,ResCommon,ResIDLevel,ResKingdom,ResPhylum,ResClass,ResOrder,ResFamily,ResGenus,ResSpecies,ResTrophic,ResTrophicGroup_citation,ResType,ResStage,ResThermy,ResTemp,ResTempUnit,ResTempMethod,ResLabGrowthTemp,ResLabGrowthTempUnit,ResLabGrowthDur,ResLabGrowthDurUnit,ResAcc,ResAccTemp,ResAccTempNotes,ResAccTime,ResAccTimeNotes,ResAccTimeUnit,ResOrigTemp,ResOrigTempNotes,ResOrigTime,ResOrigTimeNotes,ResOrigTimeUnit,ResSize,ResSizeUnit,ResSizeType,ResSizeSI,ResSizeUnitSI,ResDenValue,ResDenUnit,ResDenTypeSI,ResDenValueSI,ResDenUnitSI,ResMassValueSI,ResMassUnitSI,ResTimeTestTemp,ResTimeTestTempNotes,ResTimeTestTempUnit,ResTimeTestTempSI,ResTimeTestTempUnitSI,PhysicalProcess,PhysicalProcess_1,PhysicalProcess_2,ElectronDonorCommon,ElectronDonorFormula,ElectronAcceptorCommon,ElectronAcceptorFormula,CitationID,Citation,DOI,Published,FigureTable,Notes,SubmittedBy,ContributorEmail,ManualCheck
Belyaev_Methanobacterium_Ivanov,NA,Specific growth rate,specific growth rate inferred from the quantification of methane,Specific Growth Rate,NA,-0.000138696,h^-1,NA,NA,NA,-0.00000004,s^-1,NA,NA,NA,NA,NA,Laboratory,NA,NA,NA,NA,10.0566,NA,Celcius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bondyuzhskoeoil fields,Organism,NA,NA,60.4914,55.9378,consumer,NA,population,NA,Methanobacterium sp. Ivanov,NA,NA,NA,Species,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,NA,NA,NA,NA,ectotherm,10.0566,Celcius,Inferred (ambient),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2,Hydrogen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrogen,H2,Carbon Dioxide,CO2,NA,"1982, Belyaev, S. et al, 'Methanogenic Bacteria from the Bondyuzhskoe Oil Field: General Characterization and Analysis of Stable-Carbon Isotopic Fractionation', Applied Environmental Microbiology 45 (691-697)",NA,TRUE,Fig 2,NA,Joss Thomas,NA,NA
Belyaev_Methanobacterium_Ivanov,NA,Specific growth rate,specific growth rate inferred from the quantification of methane,Specific Growth Rate,NA,0.00409154,h^-1,NA,NA,NA,0.00000114,s^-1,NA,NA,NA,NA,NA,Laboratory,NA,NA,NA,NA,20.0679,NA,Celcius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bondyuzhskoeoil fields,Organism,NA,NA,60.4914,55.9378,consumer,NA,population,NA,Methanobacterium sp. Ivanov,NA,NA,NA,Species,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,NA,NA,NA,NA,ectotherm,20.0679,Celcius,Inferred (ambient),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2,Hydrogen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrogen,H2,Carbon Dioxide,CO2,NA,"1982, Belyaev, S. et al, 'Methanogenic Bacteria from the Bondyuzhskoe Oil Field: General Characterization and Analysis of Stable-Carbon Isotopic Fractionation', Applied Environmental Microbiology 45 (691-697)",NA,TRUE,Fig 2,NA,Joss Thomas,NA,NA
Belyaev_Methanobacterium_Ivanov,NA,Specific growth rate,specific growth rate inferred from the quantification of methane,Specific Growth Rate,NA,0.0260055,h^-1,NA,NA,NA,0.00000722,s^-1,NA,NA,NA,NA,NA,Laboratory,NA,NA,NA,NA,30.0226,NA,Celcius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bondyuzhskoeoil fields,Organism,NA,NA,60.4914,55.9378,consumer,NA,population,NA,Methanobacterium sp. Ivanov,NA,NA,NA,Species,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,NA,NA,NA,NA,ectotherm,30.0226,Celcius,Inferred (ambient),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2,Hydrogen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrogen,H2,Carbon Dioxide,CO2,NA,"1982, Belyaev, S. et al, 'Methanogenic Bacteria from the Bondyuzhskoe Oil Field: General Characterization and Analysis of Stable-Carbon Isotopic Fractionation', Applied Environmental Microbiology 45 (691-697)",NA,TRUE,Fig 2,NA,Joss Thomas,NA,NA
Belyaev_Methanobacterium_Ivanov,NA,Specific growth rate,specific growth rate inferred from the quantification of methane,Specific Growth Rate,NA,0.0361304,h^-1,NA,NA,NA,0.00001,s^-1,NA,NA,NA,NA,NA,Laboratory,NA,NA,NA,NA,37.0362,NA,Celcius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bondyuzhskoeoil fields,Organism,NA,NA,60.4914,55.9378,consumer,NA,population,NA,Methanobacterium sp. Ivanov,NA,NA,NA,Species,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,NA,NA,NA,NA,ectotherm,37.0362,Celcius,Inferred (ambient),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2,Hydrogen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrogen,H2,Carbon Dioxide,CO2,NA,"1982, Belyaev, S. et al, 'Methanogenic Bacteria from the Bondyuzhskoe Oil Field: General Characterization and Analysis of Stable-Carbon Isotopic Fractionation', Applied Environmental Microbiology 45 (691-697)",NA,TRUE,Fig 2,NA,Joss Thomas,NA,NA
Belyaev_Methanobacterium_Ivanov,NA,Specific growth rate,specific growth rate inferred from the quantification of methane,Specific Growth Rate,NA,0.0439667,h^-1,NA,NA,NA,0.0000122,s^-1,NA,NA,NA,NA,NA,Laboratory,NA,NA,NA,NA,45.0113,NA,Celcius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bondyuzhskoeoil fields,Organism,NA,NA,60.4914,55.9378,consumer,NA,population,NA,Methanobacterium sp. Ivanov,NA,NA,NA,Species,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,NA,NA,NA,NA,ectotherm,45.0113,Celcius,Inferred (ambient),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2,Hydrogen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrogen,H2,Carbon Dioxide,CO2,NA,"1982, Belyaev, S. et al, 'Methanogenic Bacteria from the Bondyuzhskoe Oil Field: General Characterization and Analysis of Stable-Carbon Isotopic Fractionation', Applied Environmental Microbiology 45 (691-697)",NA,TRUE,Fig 2,NA,Joss Thomas,NA,NA
Belyaev_Methanobacterium_Ivanov,NA,Specific growth rate,specific growth rate inferred from the quantification of methane,Specific Growth Rate,NA,0.00970874,h^-1,NA,NA,NA,0.0000027,s^-1,NA,NA,NA,NA,NA,Laboratory,NA,NA,NA,NA,49.9887,NA,Celcius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bondyuzhskoeoil fields,Organism,NA,NA,60.4914,55.9378,consumer,NA,population,NA,Methanobacterium sp. Ivanov,NA,NA,NA,Species,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,NA,NA,NA,NA,ectotherm,49.9887,Celcius,Inferred (ambient),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2,Hydrogen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrogen,H2,Carbon Dioxide,CO2,NA,"1982, Belyaev, S. et al, 'Methanogenic Bacteria from the Bondyuzhskoe Oil Field: General Characterization and Analysis of Stable-Carbon Isotopic Fractionation', Applied Environmental Microbiology 45 (691-697)",NA,TRUE,Fig 2,NA,Joss Thomas,NA,NA
Belyaev_Methanobacterium_Ivanov,NA,Specific growth rate,specific growth rate inferred from the quantification of methane,Specific Growth Rate,NA,-0.000208044,h^-1,NA,NA,NA,-0.00000006,s^-1,NA,NA,NA,NA,NA,Laboratory,NA,NA,NA,NA,55.0226,NA,Celcius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bondyuzhskoeoil fields,Organism,NA,NA,60.4914,55.9378,consumer,NA,population,NA,Methanobacterium sp. Ivanov,NA,NA,NA,Species,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,NA,NA,NA,NA,ectotherm,55.0226,Celcius,Inferred (ambient),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2,Hydrogen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrogen,H2,Carbon Dioxide,CO2,NA,"1982, Belyaev, S. et al, 'Methanogenic Bacteria from the Bondyuzhskoe Oil Field: General Characterization and Analysis of Stable-Carbon Isotopic Fractionation', Applied Environmental Microbiology 45 (691-697)",NA,TRUE,Fig 2,NA,Joss Thomas,NA,NA
Belyaev_Methanobacterium_kuznetsov,NA,Specific growth rate,specific growth rate inferred from the quantification of methane,Specific Growth Rate,NA,-6.94E-18,h^-1,NA,NA,NA,0,s^-1,NA,NA,NA,NA,NA,Laboratory,NA,NA,NA,NA,10.0566,NA,Celcius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bondyuzhskoeoil fields,Organism,NA,NA,60.4914,55.9378,consumer,NA,population,NA,Methanobacterium sp. Kuznetsov,NA,NA,NA,Species,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,NA,NA,NA,NA,ectotherm,10.0566,Celcius,Inferred (ambient),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2,Hydrogen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrogen,H2,Carbon Dioxide,CO2,NA,"1982, Belyaev, S. et al, 'Methanogenic Bacteria from the Bondyuzhskoe Oil Field: General Characterization and Analysis of Stable-Carbon Isotopic Fractionation', Applied Environmental Microbiology 45 (691-697)",NA,TRUE,Fig 2,NA,Joss Thomas,NA,NA
Belyaev_Methanobacterium_kuznetsov,NA,Specific growth rate,specific growth rate inferred from the quantification of methane,Specific Growth Rate,NA,0.00575589,h^-1,NA,NA,NA,0.0000016,s^-1,NA,NA,NA,NA,NA,Laboratory,NA,NA,NA,NA,20.0679,NA,Celcius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bondyuzhskoeoil fields,Organism,NA,NA,60.4914,55.9378,consumer,NA,population,NA,Methanobacterium sp. Kuznetsov,NA,NA,NA,Species,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,NA,NA,NA,NA,ectotherm,20.0679,Celcius,Inferred (ambient),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2,Hydrogen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrogen,H2,Carbon Dioxide,CO2,NA,"1982, Belyaev, S. et al, 'Methanogenic Bacteria from the Bondyuzhskoe Oil Field: General Characterization and Analysis of Stable-Carbon Isotopic Fractionation', Applied Environmental Microbiology 45 (691-697)",NA,TRUE,Fig 2,NA,Joss Thomas,NA,NA
Belyaev_Methanobacterium_kuznetsov,NA,Specific growth rate,specific growth rate inferred from the quantification of methane,Specific Growth Rate,NA,0.036061,h^-1,NA,NA,NA,0.00001,s^-1,NA,NA,NA,NA,NA,Laboratory,NA,NA,NA,NA,30.0226,NA,Celcius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bondyuzhskoeoil fields,Organism,NA,NA,60.4914,55.9378,consumer,NA,population,NA,Methanobacterium sp. Kuznetsov,NA,NA,NA,Species,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,NA,NA,NA,NA,ectotherm,30.0226,Celcius,Inferred (ambient),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2,Hydrogen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrogen,H2,Carbon Dioxide,CO2,NA,"1982, Belyaev, S. et al, 'Methanogenic Bacteria from the Bondyuzhskoe Oil Field: General Characterization and Analysis of Stable-Carbon Isotopic Fractionation', Applied Environmental Microbiology 45 (691-697)",NA,TRUE,Fig 2,NA,Joss Thomas,NA,NA
