,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max.response,Slope,Intercept,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables,B0.max,B0.min,E.max,E.min,Tpk.max,Tpk.min,Response.max,Response.min,ED.max,ED.min,EDL.max,EDL.min,TH.max,TH.min,THL.max,THL.min,Slope.max,Slope.min,Intercept.max,Intercept.min,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,Best_Guess
392_Sch_TF,Acetobacterium bakii,schoolfield two factor,Specific Growth Rate,0.5704082941292857,0.16700331481028285,364.343503934,2.594992087500271,NA,NA,NA,NA,NA,NA,NA,0.9847783130971811,-22.62402553322243,-22.576835971051928,1,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,139,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,bakii,True,E1
392_Sch_OS,Acetobacterium bakii,schoolfield simple,Specific Growth Rate,1.2630526521288203,0.16705513464645216,NA,0.00010387789210453136,NA,NA,NA,NA,NA,NA,NA,0.9847783020597729,-22.624025149968194,-22.576835587797692,2,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,139,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,bakii,True,E1
401_Sch_O,Acetobacterium carbinolicum,schoolfield,Specific Growth Rate,-1.96291376601772,0.7086292234834711,NA,0.0003069253462993915,-3.82783248968,NA,NA,NA,NA,NA,NA,0.9992655716471192,-45.33452884190955,-44.792212557313164,1,False,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,148,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,carbinolicum,True,E1
401_Sch_OS,Acetobacterium carbinolicum,schoolfield simple,Specific Growth Rate,-3.2386256544471403,1.0624850370291519,NA,0.8915741841524978,NA,NA,NA,NA,NA,NA,NA,0.9933419676314349,-35.90570874795918,-34.94691140181891,2,False,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,148,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,carbinolicum,True,E1
401_Sch_TF,Acetobacterium carbinolicum,schoolfield two factor,Specific Growth Rate,-3.2809599078546388,1.0448694148856918,381.109093086,1.0450637715586115,NA,NA,NA,NA,NA,NA,NA,0.9929304958172838,-35.58711421746662,-34.62831687132635,3,False,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,148,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,carbinolicum,True,E1
394_Sch_OS,Acetobacterium fimetarium,schoolfield simple,Specific Growth Rate,-1.2772088911116557,0.6219443211233904,NA,21.96469236898525,NA,302.927,298.927,303.927,3.62173105247,NA,NA,0.992310022693664,-24.515450132871578,-22.785899387595013,1,False,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,141,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,fimetarium,True,E1
394_Sch_TF,Acetobacterium fimetarium,schoolfield two factor,Specific Growth Rate,-1.2772088895366154,0.6219443253708482,302.887256985,21.053197612361053,NA,302.927,298.927,303.927,3.61828202544,NA,NA,0.9923098712570417,-24.51544929023015,-22.785898544953586,2,False,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,141,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,fimetarium,True,E1
394_Sch_O,Acetobacterium fimetarium,schoolfield,Specific Growth Rate,-0.5840537946005863,0.6219415616487974,NA,16.857033927031818,-7.75187923885e-06,302.927,298.827,304.127,3.60102857842,NA,NA,0.9923097424563653,-20.51541277422301,-18.894041730835816,3,False,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,141,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,fimetarium,True,E1
393_Sch_TF,Acetobacterium paludosum,schoolfield two factor,Specific Growth Rate,0.0739147332714334,0.5094544728416491,319.938759103,11.096467401095309,NA,NA,NA,NA,NA,NA,NA,0.9836716249831406,-9.895021050328086,-9.847831488157585,1,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393,140,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,paludosum,True,E1
393_Sch_OS,Acetobacterium paludosum,schoolfield simple,Specific Growth Rate,0.07391474665882061,0.5094544647609232,NA,7.9871190409934485,NA,NA,NA,NA,NA,NA,NA,0.9836716249517837,-9.895021050327959,-9.847831488157457,2,False,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393,140,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,paludosum,True,E1
