,index,ID,Strain,Model_name,Species,Reference,Trait,Latitude,Longitude,Kingdom,Phylum,Class,Order,Family,Genus,B0,B0_stderr,E,E stderr,T_pk,T_pk.stderr,E_D ,E_D.stderr,E_D_L,E_D_L stderr,Est.Tpk,Est.Tmin,Est.Tmax,Max response,Donor,Acceptor,Respiration.Type,R_Squared,AIC,BIC,Rank,Corrected,Optimal Conditions,Number of Data Points,Number of Variables
0,133,45.0, Enterococcus faecalis,schoolfield simple,enterococcus faecalis,"1996,  Thammavongs, B. et al, 'Physiological response of Enterococcus faecalis JH2-2 to cold shock : growth at low temperatures and freezing thawing challenge', Letters in Applied Microbiology 23 (398-402)",Specific Growth Rate,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,-0.5224160768266909,0.4822858218121671,0.8318099197792652,0.12739267951715383,NA,NA,2.668634616177101,0.3272982528394997,NA,NA,311.1159900000102,305.21599000000884,316.0159900000113,30.31369702861673,Glucose,Acetaldehyde,Fermentation,0.9297273973428151,45.39294379783888,52.371605165608834,1.0,False,True,20.0,4.0
1,134,45.0, Enterococcus faecalis,schoolfield two factor,enterococcus faecalis,"1996,  Thammavongs, B. et al, 'Physiological response of Enterococcus faecalis JH2-2 to cold shock : growth at low temperatures and freezing thawing challenge', Letters in Applied Microbiology 23 (398-402)",Specific Growth Rate,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,-0.5224753108817276,0.48239682038107157,0.8318316089560468,0.1274281439166232,311.0801887541053,1.025908788893312,2.668589438692723,0.3271064536263396,NA,NA,311.1159900000102,305.21599000000884,316.0159900000113,30.313843681823265,Glucose,Acetaldehyde,Fermentation,0.9297272983004128,45.39294380527259,52.37160517304254,2.0,False,True,20.0,4.0
2,135,45.0, Enterococcus faecalis,schoolfield,enterococcus faecalis,"1996,  Thammavongs, B. et al, 'Physiological response of Enterococcus faecalis JH2-2 to cold shock : growth at low temperatures and freezing thawing challenge', Letters in Applied Microbiology 23 (398-402)",Specific Growth Rate,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,3.328843834047433,0.0,4.3392794701890836e-07,0.0,NA,NA,17.069014016391364,0.0,-150.6886972631224,0,312.4159900000105,304.6159900000087,320.71599000001237,27.906122964333854,Glucose,Acetaldehyde,Fermentation,0.7530734453221646,82.62705333361505,91.59717924849299,3.0,False,True,20.0,6.0
3,1132,396.0,Acetobacterium Z-4092,schoolfield two factor,acetobacterium z-4092,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,0.04815773203490732,0.0,0.5260314406633505,0.0,313.69770648926277,0,9.231947885955071,0.0,NA,NA,NA,NA,NA,NA,Na,Na,E1,0.9845201171195804,-10.089274839219012,-10.04208527704851,1.0,False,True,5.0,4.0
4,1133,396.0,Acetobacterium Z-4092,schoolfield simple,acetobacterium z-4092,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,0.04815771211889484,0.0,0.5260314483146846,0.0,NA,NA,6.570495549298597,0.0,NA,NA,NA,NA,NA,NA,Na,Na,E1,0.9845201170838837,-10.089274839122925,-10.042085276952424,2.0,False,True,5.0,4.0
5,1136,398.0,Acetobacterium Z-4290,schoolfield simple,acetobacterium z-4290,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-1.3266316964641822,0.26194072109826805,0.6426907119872152,0.10354221213135621,NA,NA,27.569644187499968,81430169.58146392,NA,NA,302.60700000000986,298.807000000009,303.50700000001007,3.6984704055060544,Na,Na,E1,0.9927393005403314,-24.725022149286566,-22.99547140401,1.0,False,True,7.0,4.0
6,1137,398.0,Acetobacterium Z-4290,schoolfield two factor,acetobacterium z-4290,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-1.3266316981253028,0.19556164999522652,0.6426907123623461,0.06010542770150463,302.6285833315701,,30.897053462254366,,NA,NA,302.60700000000986,298.907000000009,303.40700000001004,3.7102711459252578,Na,Na,E1,0.9927394814029806,-24.725021792612687,-22.99547104733612,2.0,False,True,7.0,4.0
7,1138,398.0,Acetobacterium Z-4290,schoolfield,acetobacterium z-4290,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-0.6333143852529224,10479.242264311666,0.6426256083891934,4694.454504577433,NA,NA,17.032161580707584,643480.3304312597,-0.00013231060153751084,8483.079684047201,302.60700000000986,298.707000000009,303.80700000001013,3.647418635920304,Na,Na,E1,0.9927391631331592,-20.724973515016238,-19.103602471629046,3.0,False,True,7.0,6.0
8,1134,397.0,Acetobacterium Z-4391,schoolfield two factor,acetobacterium z-4391,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,0.5595275401082681,0.0,0.1691673326309594,0.0,378.04961768895794,0,3.083188852565465,0.0,NA,NA,NA,NA,NA,NA,Na,Na,E1,0.9782089736912236,-20.833532908195938,-20.786343346025436,1.0,False,True,5.0,4.0
9,1135,397.0,Acetobacterium Z-4391,schoolfield simple,acetobacterium z-4391,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,1.2521532987715267,6138.530160178302,0.1692483332533592,589.322100014771,NA,NA,0.00016291245095700901,1099.4625893354253,NA,NA,NA,NA,NA,NA,Na,Na,E1,0.9782089336602037,-20.833531953656735,-20.786342391486233,2.0,False,True,5.0,4.0
