,index,ID,Species,Model_name,Reference,Trait,Latitude,Longitude,Kingdom,Phylum,Class,Order,Family,Genus,B0,B0_stderr,E,E stderr,T_pk,T_pk.stderr,E_D ,E_D.stderr,E_D_L,E_D_L stderr,Est.Tpk,Est.Tmin,Est.Tmax,Max response,Donor,Acceptor,R_Squared,AIC,BIC,Plotted,Temp_Vals,Trait_Vals
0,133,45, Enterococcus faecalis,schoolfield two factor,"1996,  Thammavongs, B. et al, 'Physiological response of Enterococcus faecalis JH2-2 to cold shock : growth at low temperatures and freezing thawing challenge', Letters in Applied Microbiology 23 (398-402)",Specific Growth Rate,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,-0.522475311,0.48239682,0.831831609,0.127428144,311.0801888,1.025908789,2.668589439,0.327106454,NA,NA,311.11599,305.21599,316.01599,30.31384368,Glucose,Acetaldehyde,0.929727298,104.1504851,109.1291465,FALSE,"[ 281.21599  282.32806  283.1926   284.1075   285.2677   286.1826   287.1472
  288.1538   289.2168   290.1306   291.1858   293.1688   298.0308   303.0482
  309.9843   312.9453   314.8451   320.8735   321.9517   322.6742 ]","[  0.579744   0.689472   1.1232     1.512      1.71936    2.19456    2.60064
   3.77568    4.12128    4.99392    6.55776    7.09344   13.08528
  18.175968  30.216672  28.381536  25.149312  19.281024   6.48       1.46016 ]"
1,134,45, Enterococcus faecalis,schoolfield simple,"1996,  Thammavongs, B. et al, 'Physiological response of Enterococcus faecalis JH2-2 to cold shock : growth at low temperatures and freezing thawing challenge', Letters in Applied Microbiology 23 (398-402)",Specific Growth Rate,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,-0.522416077,0.482285822,0.83180992,0.12739268,NA,NA,2.668634616,0.327298253,NA,NA,311.11599,305.21599,316.01599,30.31369703,Glucose,Acetaldehyde,0.929727397,104.1504851,109.1291465,TRUE,"[ 281.21599  282.32806  283.1926   284.1075   285.2677   286.1826   287.1472
  288.1538   289.2168   290.1306   291.1858   293.1688   298.0308   303.0482
  309.9843   312.9453   314.8451   320.8735   321.9517   322.6742 ]","[  0.579744   0.689472   1.1232     1.512      1.71936    2.19456    2.60064
   3.77568    4.12128    4.99392    6.55776    7.09344   13.08528
  18.175968  30.216672  28.381536  25.149312  19.281024   6.48       1.46016 ]"
2,135,45, Enterococcus faecalis,schoolfield,"1996,  Thammavongs, B. et al, 'Physiological response of Enterococcus faecalis JH2-2 to cold shock : growth at low temperatures and freezing thawing challenge', Letters in Applied Microbiology 23 (398-402)",Specific Growth Rate,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,0.354853097,0,0.550655751,0,NA,NA,13.69970603,0,-149.1514283,0,318.61599,313.51599,320.21599,38.53238654,Glucose,Acetaldehyde,0.918875241,111.40523,118.3753559,FALSE,"[ 281.21599  282.32806  283.1926   284.1075   285.2677   286.1826   287.1472
  288.1538   289.2168   290.1306   291.1858   293.1688   298.0308   303.0482
  309.9843   312.9453   314.8451   320.8735   321.9517   322.6742 ]","[  0.579744   0.689472   1.1232     1.512      1.71936    2.19456    2.60064
   3.77568    4.12128    4.99392    6.55776    7.09344   13.08528
  18.175968  30.216672  28.381536  25.149312  19.281024   6.48       1.46016 ]"
3,1111,396,Acetobacterium Z-4092,schoolfield two factor,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,0.048157715,0,0.526031448,0,313.6369372,0,9.25445891,0,NA,NA,NA,NA,NA,NA,,,0.984520117,6.100110493,4.147300055,TRUE,[ 274.218  278.173  283.189  288.101  292.976],[ 0.98496  1.67616  2.52288  3.11904  4.82112]
4,1112,396,Acetobacterium Z-4092,schoolfield simple,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,0.048157732,0.232883759,0.526031441,0.127340292,NA,NA,6.583382955,8.89E+15,NA,NA,NA,NA,NA,NA,,,0.984520117,6.100110493,4.147300055,FALSE,[ 274.218  278.173  283.189  288.101  292.976],[ 0.98496  1.67616  2.52288  3.11904  4.82112]
5,1115,398,Acetobacterium Z-4290,schoolfield two factor,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-1.326631698,0.19556165,0.642690712,0.060105428,302.6285833,,30.89705346,,NA,NA,302.607,298.907,303.407,3.710271146,,,0.992739481,-2.859882328,-3.130331582,FALSE,[ 274.207  278.303  283.304  288.227  293.013  298.025  302.973],[ 0.456192  0.552096  0.672192  0.95904   1.65888   2.64384   3.60288 ]
6,1116,398,Acetobacterium Z-4290,schoolfield simple,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-1.326631696,0.261940721,0.642690712,0.103542212,NA,NA,27.56964419,81430169.58,NA,NA,302.607,298.807,303.507,3.698470406,,,0.992739301,-2.859882684,-3.130331939,TRUE,[ 274.207  278.303  283.304  288.227  293.013  298.025  302.973],[ 0.456192  0.552096  0.672192  0.95904   1.65888   2.64384   3.60288 ]
7,1117,398,Acetobacterium Z-4290,schoolfield,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,-0.633484928,232.928469,0.642690892,94.72752234,NA,NA,16.5347308,574769.7976,-1.55E-06,117.7796517,302.607,298.707,303.907,3.644380503,,,0.992739145,1.140183749,0.761554793,FALSE,[ 274.207  278.303  283.304  288.227  293.013  298.025  302.973],[ 0.456192  0.552096  0.672192  0.95904   1.65888   2.64384   3.60288 ]
8,1113,397,Acetobacterium Z-4391,schoolfield two factor,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,0.55952754,0,0.169167333,0,375.5306587,0,3.187931288,0,NA,NA,NA,NA,NA,NA,,,0.978208974,-4.644147576,-6.596958014,TRUE,[ 274.198  278.131  283.191  288.196  293.089],[ 1.84896  2.01312  2.16     2.52288  2.90304]
9,1114,397,Acetobacterium Z-4391,schoolfield simple,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",Specific Growth Rate,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,1.252153299,6138.53016,0.169248333,589.3221,NA,NA,0.000162912,1099.462589,NA,NA,NA,NA,NA,NA,,,0.978208934,-4.644146622,-6.596957059,FALSE,[ 274.198  278.131  283.191  288.196  293.089],[ 1.84896  2.01312  2.16     2.52288  2.90304]
