,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,Slope,Intercept,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables
5_BA,Alphaproteobacteria,Boltzmann Arrhenius,Specific Growth Rate,0.124289263844,0.0112990526682,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00010179705786184101,14.53936669501208,16.37709714217802,2,False,7,2
5_LM,Alphaproteobacteria,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00020175901458,1.24860882086,8.460832433820898e-07,-107.49990764362369,-105.66217719645775,1,False,7,2
3_BA,Aquificae,Boltzmann Arrhenius,Specific Growth Rate,-2.75639203127,0.561701206278,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23671872456153442,21.054517679818105,21.882831417120407,2,False,5,2
3_LM,Aquificae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.315256841288,-98.5483716359,0.12314182665182911,-14.5192821904974,-13.690968453195099,1,False,5,2
6_BA,Bacilli,Boltzmann Arrhenius,Specific Growth Rate,3.08316487125,0.047568465284,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019440333643890195,164.65288913102503,170.64950266155066,2,False,28,2
6_LM,Bacilli,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166518815661,-23.9769028036,0.019126167047609402,-200.0892668978601,-194.0926533673345,1,False,28,2
2_BA,Betaproteobacteria,Boltzmann Arrhenius,Specific Growth Rate,0.758338785478,0.242524972025,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3617613299768444,31.99740025180241,33.83513069896835,2,False,7,2
2_LM,Betaproteobacteria,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.343442407048,-99.2201944459,0.43479504853572243,-15.451534625372922,-13.613804178206983,1,False,7,2
1_BA,Clostridia,Boltzmann Arrhenius,Specific Growth Rate,2.18243755671,0.097818053617,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011982048960011427,245.6771255780253,252.509879315958,2,False,37,2
1_LM,Clostridia,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209508565973,-50.919145465,0.012879634783542341,-290.63195558668673,-283.7992018487541,1,False,37,2
17_BA,Cyanophyceae,Boltzmann Arrhenius,Specific Growth Rate,-1.39084750073,0.167281388307,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04288336978951368,-123.80516876516567,-115.89429302450931,2,False,53,2
