,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,Slope,Intercept,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables
2_BA,Bacillaceae,Boltzmann Arrhenius,Specific Growth Rate,3.51330889682,3.94312715812e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.409696385820894e-09,81.67935793158894,85.37420600397355,2,False,13,2
2_LM,Bacillaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.553290381486,217.197766887,0.08547309062516971,-61.318539514395326,-57.62369144201072,1,False,13,2
1_BA,Clostridiaceae,Boltzmann Arrhenius,Specific Growth Rate,4.20447482201,1.81602111127e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.855049861087537e-10,40.209442474084376,41.03775621138668,2,False,5,2
1_LM,Clostridiaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.299618114042,165.942299156,0.008647776460812714,-27.79945480035296,-26.97114106305066,1,False,5,2
10_BA,Clostridiales family xvii. incertae sedis,Boltzmann Arrhenius,Specific Growth Rate,-5.42024476439,1.11443660888,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9556398357205111,17.23283093926502,18.061144676567324,2,False,5,2
10_LM,Clostridiales family xvii. incertae sedis,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27939253063,-397.911781829,0.6650125582030234,-6.086936332114345,-5.258622594812044,1,False,5,2
3_BA,Desulfurococcaceae,Boltzmann Arrhenius,Specific Growth Rate,2.84822552119,6.27186547142e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.976885984031014e-10,42.386134603609996,44.6244592286495,2,False,8,2
3_LM,Desulfurococcaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38513440485,518.232446825,0.0707298204719538,-33.82663638266959,-31.588311757630084,1,False,8,2
4_BA,Enterobacteriaceae,Boltzmann Arrhenius,Specific Growth Rate,-0.141544057838,0.719774735447,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28164994088609263,46.80407563087226,48.6418060780382,2,False,7,2
4_LM,Enterobacteriaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85621705639,-850.537680305,0.33210025550208333,-17.33759971211533,-15.499869264949393,1,False,7,2
5_BA,Halobacteriaceae,Boltzmann Arrhenius,Specific Growth Rate,-3.08311675179,0.908168058266,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8781949933260876,13.229149675545017,14.057463412847317,2,False,5,2
5_LM,Halobacteriaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.891415358821,-271.261024765,0.9253805042488218,-4.434940912714007,-3.606627175411706,1,False,5,2
13_BA,Methanobacteriaceae,Boltzmann Arrhenius,Specific Growth Rate,-1.8414782961,0.422075085069,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7737387641965124,3.4139135665745153,4.242227303876816,2,False,5,2
13_LM,Methanobacteriaceae,Linear Model,Specific Growth Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140819942601,-42.448885481,0.7231121664584,-5.66814420480376,-4.839830467501459,1,False,5,2
6_BA,Natrialbaceae,Boltzmann Arrhenius,Specific Growth Rate,0.902642939727,0.278662936135,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7372938643783197,0.7393351876938556,2.114613595378021,2,False,6,2
