,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables
9_BA,Alteromonadales,Boltzmann Arrhenius,Specific Growth Rate,0.49830017918394276,0.5730474882668917,NA,NA,NA,NA,NA,NA,NA,0.8542608993906146,24.442053440721168,28.136901513105776,1,False,13,2
9_Sch_TF,Alteromonadales,schoolfield two factor,Specific Growth Rate,0.4983187134469893,0.5730425922022883,407.633513486,12.0394237555,NA,NA,NA,NA,NA,0.8542603503651358,28.442053448190087,33.26680023549777,2,False,13,4
5_BA,Bacillales,Boltzmann Arrhenius,Specific Growth Rate,3.4765876762615235,1.8521406630611637e-11,NA,NA,NA,NA,NA,NA,NA,-5.647482481663246e-12,114.84318113282508,119.6764980703244,2,False,19,2
5_Sch_TF,Bacillales,schoolfield two factor,Specific Growth Rate,-316.0271055033057,81.08796665503883,301.760372912,81.1927534592,NA,344.09993292,344.09993292,344.09993292,63.5686877336,0.23834513777239275,113.6716724714884,120.39386736732061,1,True,19,4
1_BA,Burkholderiales,Boltzmann Arrhenius,Specific Growth Rate,0.7206053907167469,0.19329338442681343,NA,NA,NA,NA,NA,NA,NA,0.21309895698647985,24.493158727737345,25.86843713542151,2,False,6,2
1_Sch_TF,Burkholderiales,schoolfield two factor,Specific Growth Rate,-8.826999033181286,2.061766772023953,332.502625055,6.22229363071,NA,332.548005517,329.648005517,334.848005517,602.456972386,0.8610085513173048,18.761428223669476,19.72022556980975,1,False,6,4
0_BA,Clostridiales,Boltzmann Arrhenius,Specific Growth Rate,1.9215777463464068,0.17743364762999492,NA,NA,NA,NA,NA,NA,NA,0.047841490371847484,168.35547717996724,173.88963867101108,2,False,24,2
0_Sch_TF,Clostridiales,schoolfield two factor,Specific Growth Rate,-16.58818554620469,3.537653008223703,319.847802621,10.0706382613,NA,319.83,318.23,321.23,136.336828299,0.49614298185848915,163.18655114774907,171.0768202994888,1,False,24,4
32_BA,Desulfobacterales,Boltzmann Arrhenius,Specific Growth Rate,-1.729198649504505,0.3877294649306686,NA,NA,NA,NA,NA,NA,NA,0.6576757407024554,-19.935487757029172,-18.097757309863233,1,False,7,2
32_Sch_TF,Desulfobacterales,schoolfield two factor,Specific Growth Rate,-3.2813104837260854,1.13771072207678,304.586038275,1.37554602514,NA,304.57938,294.87938,320.97938,0.951879158448,0.7745480862410045,-18.87420888750261,-17.144658142226046,2,False,7,4
7_BA,Desulfurococcales,Boltzmann Arrhenius,Specific Growth Rate,2.826918824261162,1.0432099628587821e-11,NA,NA,NA,NA,NA,NA,NA,-2.9050095662341846e-12,50.585163645151574,53.49291892413371,1,False,10,2
