,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,Slope,Intercept,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,Best_Guess
392_Sch_TF,Acetobacterium bakii,schoolfield two factor,Specific Growth Rate,0.5704082941292857,0.16700331481028285,364.343503934,2.594992087500271,NA,NA,NA,NA,NA,NA,NA,0.9847783130971811,-22.62402553322243,-22.576835971051928,1,False,5,4,392,139,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,bakii,True,E1
392_Sch_OS,Acetobacterium bakii,schoolfield simple,Specific Growth Rate,1.2630526521288203,0.16705513464645216,NA,0.00010387789210453136,NA,NA,NA,NA,NA,NA,NA,0.9847783020597729,-22.624025149968194,-22.576835587797692,2,False,5,4,392,139,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,bakii,True,E1
401_Sch_O,Acetobacterium carbinolicum,schoolfield,Specific Growth Rate,-1.9625135076738898,0.7085185546372607,NA,8.681989249337274e-05,-3.82793425481,NA,NA,NA,NA,NA,NA,0.9992655749677999,-45.334529836713145,-44.79221355211676,1,False,6,6,401,148,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,carbinolicum,True,E1
401_Sch_OS,Acetobacterium carbinolicum,schoolfield simple,Specific Growth Rate,-3.2386256544471403,1.0624850370291519,NA,0.8915741841524978,NA,NA,NA,NA,NA,NA,NA,0.9933419676314349,-35.90570874795918,-34.94691140181891,2,False,6,4,401,148,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,carbinolicum,True,E1
401_Sch_TF,Acetobacterium carbinolicum,schoolfield two factor,Specific Growth Rate,-3.2809599078546388,1.0448694148856918,381.109093086,1.0450637715586115,NA,NA,NA,NA,NA,NA,NA,0.9929304958172838,-35.58711421746662,-34.62831687132635,3,False,6,4,401,148,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,carbinolicum,True,E1
394_Sch_OS,Acetobacterium fimetarium,schoolfield simple,Specific Growth Rate,-1.2772088911116557,0.6219443211233904,NA,21.96469236898525,NA,302.927,298.927,303.927,3.62173105247,NA,NA,0.992310022693664,-24.515450132871578,-22.785899387595013,1,False,7,4,394,141,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,fimetarium,True,E1
394_Sch_TF,Acetobacterium fimetarium,schoolfield two factor,Specific Growth Rate,-1.2772088895366154,0.6219443253708482,302.887256985,21.053197612361053,NA,302.927,298.927,303.927,3.61828202544,NA,NA,0.9923098712570417,-24.51544929023015,-22.785898544953586,2,False,7,4,394,141,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,fimetarium,True,E1
394_Sch_O,Acetobacterium fimetarium,schoolfield,Specific Growth Rate,-0.5839954264517865,0.6219158822677874,NA,17.631791340073065,-5.92436582235e-05,302.927,298.827,304.127,3.60438623609,NA,NA,0.992309741772207,-20.515428044248083,-18.89405700086089,3,False,7,6,394,141,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,fimetarium,True,E1
393_Sch_TF,Acetobacterium paludosum,schoolfield two factor,Specific Growth Rate,0.0739147332714334,0.5094544728416491,319.938759103,11.096467401095309,NA,NA,NA,NA,NA,NA,NA,0.9836716249831406,-9.895021050328086,-9.847831488157585,1,False,5,4,393,140,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,paludosum,True,E1
393_Sch_OS,Acetobacterium paludosum,schoolfield simple,Specific Growth Rate,0.07391474665882061,0.5094544647609232,NA,7.9871190409934485,NA,NA,NA,NA,NA,NA,NA,0.9836716249517837,-9.895021050327959,-9.847831488157457,2,False,5,4,393,140,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,paludosum,True,E1
395_Sch_TF,Acetobacterium tundrae,schoolfield two factor,Specific Growth Rate,-3.186392353872219,1.409224259601288,300.376145043,34.23078898357067,NA,300.33,298.53,300.93,8.98637712287,NA,NA,0.9991327523104571,-28.38987891174518,-29.458407106145724,1,False,4,4,395,142,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
395_Sch_OS,Acetobacterium tundrae,schoolfield simple,Specific Growth Rate,-3.186392465033303,1.4092243125235129,NA,169.2470281791121,NA,NA,NA,NA,NA,NA,NA,0.9991327525727627,-28.38987891174481,-29.458407106145355,2,False,4,4,395,142,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
399_Sch_OS,Acetobacterium tundrae,schoolfield simple,Specific Growth Rate,-1.4645217303895386,0.6893226008720177,NA,0.4310604282951169,NA,NA,NA,NA,NA,NA,NA,0.9756128101254987,-24.768144968794473,-24.720955406623972,1,False,5,4,399,146,"2000, Maria V. Simankova and Oleg R. Kotsyurbenko and Erko Stackebrandt and Nadezhda A. Kostrikina and Anatoliy M. Lysenko and Georgiy A. Osipov and Alla N. Nozhevnikova, 'Acetobacterium tundrae sp. nov., a new psychrophilic acetogenic bacterium from tundra soil'. Archives of Microbiology, 174(6),pp440-447",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
399_Sch_TF,Acetobacterium tundrae,schoolfield two factor,Specific Growth Rate,-1.65944993836693,0.5973698943292408,423.149128892,0.5989575947514557,NA,NA,NA,NA,NA,NA,NA,0.9750899383439304,-24.661529765623413,-24.61434020345291,2,False,5,4,399,146,"2000, Maria V. Simankova and Oleg R. Kotsyurbenko and Erko Stackebrandt and Nadezhda A. Kostrikina and Anatoliy M. Lysenko and Georgiy A. Osipov and Alla N. Nozhevnikova, 'Acetobacterium tundrae sp. nov., a new psychrophilic acetogenic bacterium from tundra soil'. Archives of Microbiology, 174(6),pp440-447",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,tundrae,True,E1
396_Sch_TF,Acetobacterium z-4092,schoolfield two factor,Specific Growth Rate,0.048157671986144755,0.5260314641169891,313.588093386,9.272361904651,NA,NA,NA,NA,NA,NA,NA,0.9845201170184612,-10.089274838314736,-10.042085276144235,1,False,5,4,396,143,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
396_Sch_OS,Acetobacterium z-4092,schoolfield simple,Specific Growth Rate,0.04815771577559976,0.5260314467612104,NA,6.577130058260466,NA,NA,NA,NA,NA,NA,NA,0.9845201170882224,-10.089274838218806,-10.042085276048304,2,False,5,4,396,143,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
398_Sch_OS,Acetobacterium z-4290,schoolfield simple,Specific Growth Rate,-1.3266317019425669,0.6426907136397628,NA,27.57775619222771,NA,302.607,298.807,303.507,3.6985002429,NA,NA,0.9927393005588258,-24.72502217437203,-22.995471429095463,1,False,7,4,398,145,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
398_Sch_TF,Acetobacterium z-4290,schoolfield two factor,Specific Growth Rate,-1.326631702804411,0.6426907136683288,302.628693114,30.937556565506394,NA,302.607,298.907,303.407,3.71040450917,NA,NA,0.9927394782574823,-24.725021829482266,-22.9954710842057,2,False,7,4,398,145,"1995, O. R. Kotsyurbenko and M. V. Simankova and A. N. Nozhevnikova. Not Available and T. N. Zhilina and N. P. Bolotina and A. M. Lysenko and G. A. Osipov, 'New species of psychrophilic acetogens: Acetobacterium bakii sp. nov., A. paludosum sp. nov., A. fimetarium sp. nov.'. Archives of Microbiology, 163(1),pp29-34",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,,True,E1
