,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,RespirationType
392_Sch_TF,Acetobacterium bakii,schoolfield two factor,Specific Growth Rate,0.5704082953608749,0.16700331426387682,360.972209507,2.704884928448557,NA,NA,NA,NA,NA,0.9847783130956396,-22.624025532265648,-22.576835970095146,1,False,5,4,392,139,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,bakii,True,E1
392_Sch_OS,Acetobacterium bakii,schoolfield simple,Specific Growth Rate,1.262625842486825,0.16709922681341904,NA,0.00019203341210793923,NA,NA,NA,NA,NA,0.9847783067080176,-22.624024224144378,-22.576834661973876,2,False,5,4,392,139,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,bakii,True,E1
401_Sch_O,Acetobacterium carbinolicum,schoolfield,Specific Growth Rate,-1.9624865677356649,0.7085111164440031,NA,7.455425724323117e-05,-3.82795401363,NA,NA,NA,NA,0.9992655723733875,-45.33452976510298,-44.79221348050659,1,False,6,6,401,148,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,carbinolicum,True,E1
401_Sch_OS,Acetobacterium carbinolicum,schoolfield simple,Specific Growth Rate,-3.2386257172774315,1.0624850541189144,NA,0.8915742813290444,NA,NA,NA,NA,NA,0.993341967640114,-35.90570883533661,-34.94691148919634,2,False,6,4,401,148,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,carbinolicum,True,E1
401_Sch_TF,Acetobacterium carbinolicum,schoolfield two factor,Specific Growth Rate,-3.2809497348263514,1.0448634762079232,381.091561805,1.0450581306837292,NA,NA,NA,NA,NA,0.9929305107521744,-35.58711467619108,-34.628317330050805,3,False,6,4,401,148,"Paarup, M et al (2006) Characterization of the psychrotolerant acetogen strain SyrA5 and the emended description of the species Acetobacterium carbinolicum. Antonie va Leewenhoek 89, 55-69",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,carbinolicum,True,E1
394_Sch_OS,Acetobacterium fimetarium,schoolfield simple,Specific Growth Rate,-1.2772088954299456,0.6219443192956229,NA,23.255861024896074,NA,302.927,298.927,303.827,3.62647621435,0.9923098640569219,-24.5154511720187,-22.785900426742135,1,False,7,4,394,141,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,fimetarium,True,E1
394_Sch_TF,Acetobacterium fimetarium,schoolfield two factor,Specific Growth Rate,-1.2772088858103186,0.6219443243996995,302.887255492,21.05351844884564,NA,302.927,298.927,303.927,3.61828322245,0.9923098715198491,-24.515449266958917,-22.785898521682352,2,False,7,4,394,141,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,fimetarium,True,E1
394_Sch_O,Acetobacterium fimetarium,schoolfield,Specific Growth Rate,-0.5840617125418381,0.6219443232485161,NA,21.731259883390578,-4.50949888542e-09,302.927,298.927,303.927,3.6208816224,0.9923098020412885,-20.515450262313507,-18.894079218926315,3,False,7,6,394,141,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,fimetarium,True,E1
393_Sch_TF,Acetobacterium paludosum,schoolfield two factor,Specific Growth Rate,0.07391475249742781,0.5094544655607619,320.682313901,10.665372633558533,NA,NA,NA,NA,NA,0.9836716250392888,-9.895021051697157,-9.847831489526655,1,False,5,4,393,140,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,paludosum,True,E1
393_Sch_OS,Acetobacterium paludosum,schoolfield simple,Specific Growth Rate,0.07391478163243696,0.5094544506019463,NA,7.028088870927066,NA,NA,NA,NA,NA,0.9836716250325234,-9.89502105169684,-9.847831489526339,2,False,5,4,393,140,"Nozhevnikova, AN, et al Temperature characteristics of methanogenic archaea and acetogenic bacteria isolated from cold environments. Water Science and Technology, 44, 41-48 ",,,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,paludosum,True,E1
