,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max.response,Slope,Intercept,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables,B0.max,B0.min,E.max,E.min,Tpk.max,Tpk.min,Response.max,Response.min,ED.max,ED.min,EDL.max,EDL.min,TH.max,TH.min,THL.max,THL.min,Slope.max,Slope.min,Intercept.max,Intercept.min,Temperature,Response,Original_Data
429_Sch_O_model_point_0,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.643,1.575691114306432e-122,False
429_Sch_O_model_point_1,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.743,3.4777154108763713e-121,False
429_Sch_O_model_point_2,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.843,7.657767677647223e-120,False
429_Sch_O_model_point_3,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.94300000000004,1.6822737762251685e-118,False
429_Sch_O_model_point_4,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.04300000000006,3.687046822423663e-117,False
429_Sch_O_model_point_5,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.1430000000001,8.062120135702062e-116,False
429_Sch_O_model_point_6,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.2430000000001,1.7587724606550315e-114,False
429_Sch_O_model_point_7,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.34300000000013,3.827903394627727e-113,False
429_Sch_O_model_point_8,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.44300000000015,8.3119771836862875e-112,False
429_Sch_O_model_point_9,Halomonas subglaciescola,schoolfield,Specific Growth Rate,-6.051607193238545,0.7225913433202825,NA,2.274030439408347,-186.1518496257843,292.043,286.043,297.143,0.0117272681016,NA,NA,0.9709206843338349,-381.00447360630596,-369.93361554427565,1,False,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.5430000000002,1.8006981401521174e-110,False
